epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,30607.5,0.33799,0.48833,0.2167,0.86659,0.9827,1,0.9932,0.98881,0.9827,1,0.9932,0.9893,0.17185,0.25803,0.15282,0.76832,0.0010298,0.0010298,0.0010298
100,30927.6,0.33164,0.47792,0.21576,0.8677,0.97937,1,0.99254,0.99119,0.97937,1,0.99254,0.98533,0.1727,0.26181,0.15434,0.77156,0.0010199,0.0010199,0.0010199
101,31221.7,0.33049,0.47226,0.21552,0.86891,0.98269,1,0.9932,0.99174,0.98269,1,0.9932,0.98909,0.1639,0.25047,0.15282,0.76798,0.00101,0.00101,0.00101
102,31572.1,0.33007,0.47042,0.21711,0.86615,0.9827,1,0.99008,0.98912,0.9827,1,0.99008,0.9835,0.17046,0.26482,0.15433,0.76933,0.0010001,0.0010001,0.0010001
103,31840,0.33864,0.48498,0.22036,0.87287,0.96699,1,0.98992,0.98716,0.96699,1,0.98992,0.98315,0.18244,0.26666,0.15767,0.76849,0.0009902,0.0009902,0.0009902
104,32168.9,0.32948,0.46672,0.21135,0.86201,0.98274,1,0.98631,0.98453,0.98274,1,0.98631,0.98179,0.16049,0.23788,0.15428,0.76755,0.0009803,0.0009803,0.0009803
105,32455.9,0.3308,0.47916,0.2147,0.86586,0.98272,1,0.99287,0.98939,0.98272,1,0.99287,0.99195,0.17908,0.23628,0.14533,0.76836,0.0009704,0.0009704,0.0009704
106,32764.2,0.3176,0.46438,0.20722,0.85496,0.98274,1,0.99254,0.99075,0.98274,1,0.99254,0.99185,0.16549,0.24917,0.14447,0.76868,0.0009605,0.0009605,0.0009605
107,33021.8,0.33231,0.47912,0.21462,0.86869,0.98266,1,0.99451,0.9924,0.98266,1,0.99451,0.99304,0.15621,0.24381,0.13996,0.76805,0.0009506,0.0009506,0.0009506
108,33341.9,0.32009,0.46457,0.20538,0.86339,0.98255,1,0.99287,0.989,0.98255,1,0.99287,0.98903,0.17258,0.2618,0.14792,0.77116,0.0009407,0.0009407,0.0009407
109,33663.6,0.3255,0.46594,0.20859,0.86086,0.9827,1,0.98959,0.9876,0.9827,1,0.98959,0.98552,0.16493,0.24224,0.15197,0.76355,0.0009308,0.0009308,0.0009308
110,34070.9,0.327,0.47248,0.20939,0.86364,0.98272,1,0.99402,0.99068,0.98272,1,0.99402,0.99075,0.16024,0.24544,0.14573,0.76481,0.0009209,0.0009209,0.0009209
111,34434.8,0.32529,0.46874,0.21114,0.86788,0.98266,1,0.99123,0.98847,0.98266,1,0.99123,0.98696,0.16293,0.25564,0.14543,0.77094,0.000911,0.000911,0.000911
112,34822.6,0.32044,0.46357,0.20454,0.86582,0.98272,1,0.99254,0.9903,0.98272,1,0.99254,0.98891,0.16029,0.24782,0.14695,0.76336,0.0009011,0.0009011,0.0009011
113,35174.1,0.31957,0.46375,0.20602,0.85834,0.98273,1,0.99336,0.99115,0.98273,1,0.99336,0.9899,0.16695,0.2464,0.14346,0.76629,0.0008912,0.0008912,0.0008912
114,35536.9,0.32208,0.46311,0.20483,0.85835,0.98275,1,0.98549,0.98374,0.98275,1,0.98549,0.98472,0.16959,0.24509,0.15341,0.77036,0.0008813,0.0008813,0.0008813
115,35844.4,0.3207,0.45303,0.20438,0.85945,0.98273,1,0.9827,0.98122,0.98273,1,0.9827,0.97863,0.16464,0.247,0.14072,0.76672,0.0008714,0.0008714,0.0008714
116,384.945,0.36463,0.62544,0.27539,0.87906,0.97719,0.98333,0.99136,0.9857,0.97719,0.98333,0.99136,0.98674,0.1919,0.28875,0.18455,0.78022,0.0008615,0.0008615,0.0008615
117,750.511,0.32491,0.48265,0.21237,0.86479,0.98253,1,0.99156,0.98648,0.98253,1,0.99156,0.98739,0.18433,0.25246,0.17041,0.77362,0.0008516,0.0008516,0.0008516
118,1206.99,0.31921,0.48319,0.20359,0.85756,0.98215,1,0.99336,0.99181,0.98215,1,0.99336,0.9893,0.17203,0.23605,0.18241,0.76873,0.0008417,0.0008417,0.0008417
119,1480.87,0.3196,0.46927,0.20752,0.86151,0.98272,1,0.99205,0.98732,0.98272,1,0.99205,0.98845,0.1636,0.24828,0.14724,0.76739,0.0008318,0.0008318,0.0008318
120,1875.32,0.32683,0.47167,0.20992,0.86386,0.98273,1,0.99287,0.98856,0.98273,1,0.99287,0.98965,0.17392,0.2378,0.14744,0.77104,0.0008219,0.0008219,0.0008219
121,2199.06,0.32514,0.46249,0.20542,0.86275,0.96737,1,0.99402,0.98532,0.96737,1,0.99402,0.98736,0.19305,0.26452,0.18159,0.77359,0.000812,0.000812,0.000812
122,2554.33,0.31701,0.45018,0.1965,0.85517,0.98274,1,0.99451,0.99094,0.98274,1,0.99451,0.99223,0.17203,0.26289,0.15285,0.76869,0.0008021,0.0008021,0.0008021
123,2869.66,0.30313,0.43115,0.19086,0.8583,0.98265,1,0.99402,0.9914,0.98265,1,0.99402,0.98856,0.15385,0.25425,0.14765,0.76613,0.0007922,0.0007922,0.0007922
124,3299.19,0.31186,0.45411,0.19608,0.85726,0.98273,1,0.99205,0.98986,0.98273,1,0.99205,0.99142,0.15678,0.23693,0.13766,0.76359,0.0007823,0.0007823,0.0007823
125,3651.21,0.30517,0.44705,0.19094,0.85724,0.98274,1,0.99336,0.98973,0.98274,1,0.99336,0.99065,0.16382,0.24206,0.14285,0.77159,0.0007724,0.0007724,0.0007724
126,4052.56,0.30032,0.4318,0.18964,0.85572,0.98271,1,0.99369,0.99123,0.98271,1,0.99369,0.98712,0.1679,0.25461,0.14304,0.76481,0.0007625,0.0007625,0.0007625
127,4373.64,0.30362,0.43998,0.18921,0.85168,0.98361,1,0.99369,0.99138,0.98361,1,0.99369,0.99309,0.1593,0.2305,0.14519,0.76224,0.0007526,0.0007526,0.0007526
128,4762.13,0.30832,0.44678,0.19344,0.85335,0.98269,1,0.99484,0.99274,0.98269,1,0.99484,0.99376,0.16477,0.23692,0.15021,0.7646,0.0007427,0.0007427,0.0007427
129,5084.63,0.30214,0.43319,0.18652,0.85396,0.98273,1,0.99336,0.98835,0.98273,1,0.99336,0.98912,0.16934,0.24181,0.14195,0.7631,0.0007328,0.0007328,0.0007328
130,5512.14,0.30024,0.43331,0.18483,0.85232,0.98271,1,0.99287,0.99045,0.98271,1,0.99287,0.98922,0.15445,0.23328,0.13523,0.76381,0.0007229,0.0007229,0.0007229
131,5850.48,0.30557,0.43638,0.18964,0.84781,0.98255,1,0.99336,0.99119,0.98255,1,0.99336,0.98997,0.1587,0.23729,0.13375,0.76248,0.000713,0.000713,0.000713
132,298.261,0.3268,0.48327,0.21797,0.86048,0.9827,1,0.99336,0.98755,0.9827,1,0.99336,0.98723,0.19355,0.25806,0.1619,0.76635,0.0007031,0.0007031,0.0007031
